MSFT.O,MSFT.O,MSFT.O,MSFT.O,MSFT.O,MSFT.O,TSLA.O,TSLA.O,TSLA.O,TSLA.O,TSLA.O,TSLA.O,IVV,IVV,IVV,IVV,IVV,IVV
HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
105.59,105.27,104.29,105.185,196221,29760697,20.979979020000002,20.500646166,20.1999798,20.886645780000002,76032,97809262.80926281,272.80601658,271.45786473,269.56046583,272.20683798,48110,6678041
105.78,105.67,104.2603,104.39,136049,21461093,20.496312837,20.38664628,19.8999801,20.455312878,69921,87663267.66326766,271.77742665,271.75745403,269.10109557000004,269.97989085000006,21653,2909309
106.58,105.25,104.965,106.2,132578,18914123,21.23997876,20.855979144,20.6999793,20.773312560000004,76788,106945801.94580194,272.77605765,271.90724868,271.3280427,272.46648203999996,20708,2770345
107.14,106.89,105.48,106.14,159333,25056595,21.212645454,20.787312546,20.641312692,21.079978920000002,58001,82763632.76363276,275.8218822,275.44240242,273.62489400000004,273.68481186,27493,4285413
107.78,106.81,106.71,107.5,124894,18394869,20.84997915,20.544646122000003,20.371312962,20.82331251,56320,77124332.12433212,277.23993822,276.28125246,275.87181375,276.34117032000006,20473,2994362
107.29,106.9,105.66,106.31,142117,21784703,20.451312882,20.251313082,20.0666466,20.225313108,57500,78012558.01255801,276.93036261000003,275.65211493,274.16415474,275.06292264,43115,7159715
108.3,108.22,107.3624,107.91,155667,26606886,20.5333128,20.525312808,20.25997974,20.2999797,43055,58574263.57426357,278.77782996,278.77782996,277.43966442,277.62940431,34763,4844237
108.66,108.17,107.78,107.79,120031,18038460,20.76959256372,20.375979624,20.364646302,20.437312896,46463,62526707.52670752,279.91127614500004,279.16729605,277.79917158,277.82913050999997,27293,4588556
107.94,107.15,106.29,107.86,143108,21607671,20.419979580000003,20.170646496000003,19.933313400000003,20.293979706000002,86379,107131862.13186213,280.24581753,279.70655679,278.60806269,279.16729605,33131,5534256
109.48,109.41,106.87,106.9,199035,29063231,20.21597311734,19.415313918000003,19.3666473,20.120646546000003,103730,133637863.63786364,279.40696749000006,278.82776151,277.65936324000006,279.06743295,25402,3118702
111.2,110.97,109.82,110.05,182498,27763218,19.7666469,19.647313686,19.473313860000005,19.632647034,68991,86108456.1084561,280.69520148,280.43555742,279.15730974,279.47687166000003,25962,4962953
112.18,111.59,111.26,111.76,154668,23750599,20.193606473040003,19.917980082,19.8000135333,19.860646806000002,72643,99397929.3979294,282.671492229,280.87495506,280.76510565,282.07331225999997,32312,4699300
113.24,112.36,111.17,111.26,147824,21536733,20.133979866,19.857313476,19.251320748660003,19.481313852000003,95817,128738153.73815374,281.63391462,280.66524255,280.27447823970004,280.42557111,31599,4881387
112.36,112.17,110.88,111.69,127157,21487062,21.086312247000002,20.982645684,20.036646630000003,20.118646548,117958,167758787.75878775,280.92488661,280.52543421,278.8177752,279.89629668,23682,3283771
112.88,112.03,111.73,112.04,136857,29083934,21.333312000000003,21.325312008,20.720645946,21.261312072000003,113130,157809952.8099528,280.79506458000003,279.93624192,279.67659786,280.27577646000003,21537,4166078
113.02,112.53,111.665,112.89,132338,23501169,20.475312858,19.652647014000003,19.45998054,20.462646204,263207,343670968.6709687,282.23309322,281.92351761000003,280.17591336000004,281.8136682,30673,4203983
113.25,112.26,110.8,113.02,170808,26608014,19.933313400000003,19.023980976,18.851981148,19.874646792,205010,256452526.45252645,283.18179267,280.77509196000005,278.16866505,282.98196660689996,37468,4811792
112.39,111.7,111.23,112.25,117994,19538318,18.9333144,18.435981564000002,18.006648660000003,18.7999812,221811,281471381.4713815,281.10464019,280.41558480000003,279.7566880662,280.89492767999997,20475,2502411
112.66,111.75,111.43,111.87,129586,17686996,18.76703456628,18.415981584,18.292648374,18.431981568,106303,155032430.03243002,280.49547528,278.62803531000003,278.29848708000003,280.48548897,23383,3411727
111.55,110.39,109.865,111.4,166523,25338954,18.97998102,18.439314894,18.28331505,18.589314744,100220,141637386.63738662,278.27851446000005,276.38111556,275.36251194000005,278.14869243,34463,4553771
110.71,110.51,108.8,109.16,159305,22818430,19.039314294,18.942647724,18.392648274,18.460648206000002,90781,132294507.2945073,275.95170423,275.8218822,273.72475710000003,274.20409998,36342,5315808
112.95,112.83,110.98,110.99,158008,26491618,19.418647248,19.394647272,18.6999813,18.901314432,84666,110884280.88428089,279.96620085000006,279.82639251,276.56086914,276.58084176,20891,3843676
113.99,113.62,112.6499,112.82,160477,26132717,19.204647462,18.890647776,18.737314596,19.099314234,79612,112562167.56216757,281.4142158,280.8150372,280.23583122,280.40559849000005,17439,2089572
115.0,114.5,113.78,114.13,165840,35513771,19.465980534,19.263980736,18.846647819999998,18.92664774,70251,102670887.67088766,283.74102603,282.76236765,281.65388724,281.84362713,19228,2804810
115.2,114.59,114.33,114.54,141671,30763367,19.692646974,19.330647336,19.219314114,19.496647170000003,76868,106551811.55181155,283.2105532428,282.62255931,282.0468485385,282.75238134,16808,2396395
117.25,115.91,114.59,115.34,209495,54630661,18.91494108504,18.361981638,18.29331504,18.900647766000002,160222,221783186.7831868,284.81954751,283.89082068,282.94212123,283.17180636,21793,3132437
117.61,117.57,116.05,116.17,163246,31207596,18.53664813,17.965982034000003,17.81998218,18.3999816,116069,154214854.2148542,285.27891777,285.01927371000005,283.94075223,284.18042367,24440,3786222
118.44,117.65,116.99,118.09,190255,37588697,18.21998178,17.831315502000002,17.563982436,17.8333155,114156,177009627.00962698,287.001556245,285.14909574,284.05459616400003,286.11776781000003,32679,5845617
118.75,117.52,116.71,117.39,178016,28113343,18.331315002000004,18.239981760000003,17.753315580000002,17.979315354,71031,103623463.62346362,284.98931478000003,283.00203909,281.80368189,283.67112186,31266,4672069
