Instrument,open,high,low,close,Date,div_amt,split_rto
AAPL.O,115.8,116.33,114.76,116.15,2017-01-03,0.0,1.0
AAPL.O,115.85,116.51,115.75,116.02,2017-01-04,0.0,1.0
AAPL.O,115.92,116.8642,115.81,116.61,2017-01-05,0.0,1.0
AAPL.O,116.78,118.16,116.47,117.91,2017-01-06,0.0,1.0
AAPL.O,117.95,119.43,117.94,118.99,2017-01-09,0.0,1.0
AAPL.O,118.77,119.38,118.3,119.11,2017-01-10,0.0,1.0
AAPL.O,118.74,119.93,118.6,119.75,2017-01-11,0.0,1.0
AAPL.O,118.895,119.3,118.21,119.25,2017-01-12,0.0,1.0
AAPL.O,119.11,119.62,118.81,119.04,2017-01-13,0.0,1.0
AAPL.O,118.34,120.24,118.22,120.0,2017-01-17,0.0,1.0
AAPL.O,120.0,120.5,119.71,119.99,2017-01-18,0.0,1.0
AAPL.O,119.4,120.09,119.37,119.78,2017-01-19,0.0,1.0
AAPL.O,120.45,120.45,119.7346,120.0,2017-01-20,0.0,1.0
AAPL.O,120.0,120.81,119.77,120.08,2017-01-23,0.0,1.0
AAPL.O,119.55,120.1,119.5,119.97,2017-01-24,0.0,1.0
AAPL.O,120.42,122.1,120.28,121.88,2017-01-25,0.0,1.0
AAPL.O,121.67,122.44,121.6,121.94,2017-01-26,0.0,1.0
AAPL.O,122.14,122.35,121.6,121.95,2017-01-27,0.0,1.0
AAPL.O,120.93,121.63,120.66,121.63,2017-01-30,0.0,1.0
AAPL.O,121.15,121.39,120.62,121.35,2017-01-31,0.0,1.0
AAPL.O,127.03,130.49,127.01,128.75,2017-02-01,0.0,1.0
AAPL.O,127.975,129.39,127.78,128.53,2017-02-02,0.0,1.0
AAPL.O,128.31,129.19,128.16,129.08,2017-02-03,0.0,1.0
AAPL.O,129.13,130.5,128.9,130.29,2017-02-06,0.0,1.0
AAPL.O,130.54,132.09,130.45,131.53,2017-02-07,0.0,1.0
AAPL.O,131.35,132.22,131.22,132.04,2017-02-08,0.0,1.0
AAPL.O,131.65,132.445,131.12,132.42,2017-02-09,0.57,1.0
AAPL.O,132.46,132.94,132.05,132.12,2017-02-10,0.0,1.0
AAPL.O,133.08,133.82,132.75,133.29,2017-02-13,0.0,1.0
AAPL.O,133.47,135.09,133.25,135.02,2017-02-14,0.0,1.0
AAPL.O,135.52,136.27,134.62,135.51,2017-02-15,0.0,1.0
AAPL.O,135.67,135.9,134.8398,135.345,2017-02-16,0.0,1.0
AAPL.O,135.1,135.83,135.1,135.72,2017-02-17,0.0,1.0
AAPL.O,136.23,136.75,135.98,136.7,2017-02-21,0.0,1.0
AAPL.O,136.43,137.12,136.11,137.11,2017-02-22,0.0,1.0
AAPL.O,137.38,137.48,136.3,136.53,2017-02-23,0.0,1.0
AAPL.O,135.91,136.66,135.28,136.66,2017-02-24,0.0,1.0
AAPL.O,137.14,137.435,136.28,136.93,2017-02-27,0.0,1.0
AAPL.O,137.08,137.435,136.7,136.99,2017-02-28,0.0,1.0
AAPL.O,137.89,140.15,137.595,139.79,2017-03-01,0.0,1.0
AAPL.O,140.0,140.2786,138.76,138.96,2017-03-02,0.0,1.0
AAPL.O,138.78,139.83,138.59,139.78,2017-03-03,0.0,1.0
AAPL.O,139.365,139.77,138.5959,139.34,2017-03-06,0.0,1.0
AAPL.O,139.06,139.98,138.79,139.52,2017-03-07,0.0,1.0
AAPL.O,138.95,139.8,138.82,139.0,2017-03-08,0.0,1.0
AAPL.O,138.74,138.79,137.05,138.68,2017-03-09,0.0,1.0
AAPL.O,139.25,139.3571,138.64,139.14,2017-03-10,0.0,1.0
