trade_id,date,asset,trip,action,type,price,status
1,1/3/20,IVV,ENTER,BUY,LMT,323.06,SUBMITTED
1,1/3/20,IVV,ENTER,BUY,LMT,323.06,FILLED
1,1/3/20,IVV,EXIT,SELL,LMT,326.2906,SUBMITTED
1,1/8/20,IVV,EXIT,SELL,LMT,326.2906,FILLED
2,1/6/20,IVV,ENTER,BUY,LMT,320.57,SUBMITTED
2,1/8/20,IVV,ENTER,BUY,LMT,320.57,CANCELLED
3,1/7/20,IVV,ENTER,BUY,LMT,321.84,SUBMITTED
3,1/9/20,IVV,ENTER,BUY,LMT,321.84,CANCELLED
4,1/8/20,IVV,ENTER,BUY,LMT,320.96,SUBMITTED
4,1/10/20,IVV,ENTER,BUY,LMT,320.96,CANCELLED
5,1/9/20,IVV,ENTER,BUY,LMT,322.59,SUBMITTED
5,1/13/20,IVV,ENTER,BUY,LMT,322.59,CANCELLED
6,1/10/20,IVV,ENTER,BUY,LMT,324.77,SUBMITTED
6,1/14/20,IVV,ENTER,BUY,LMT,324.77,CANCELLED
7,1/13/20,IVV,ENTER,BUY,LMT,323.87,SUBMITTED
7,1/15/20,IVV,ENTER,BUY,LMT,323.87,CANCELLED
8,1/14/20,IVV,ENTER,BUY,LMT,326.14,SUBMITTED
8,1/16/20,IVV,ENTER,BUY,LMT,326.14,CANCELLED
9,1/15/20,IVV,ENTER,BUY,LMT,325.63,SUBMITTED
9,1/17/20,IVV,ENTER,BUY,LMT,325.63,CANCELLED
10,1/16/20,IVV,ENTER,BUY,LMT,326.36,SUBMITTED
10,1/21/20,IVV,ENTER,BUY,LMT,326.36,CANCELLED
11,1/17/20,IVV,ENTER,BUY,LMT,329.08,SUBMITTED
11,1/22/20,IVV,ENTER,BUY,LMT,329.08,CANCELLED
12,1/21/20,IVV,ENTER,BUY,LMT,330.16,SUBMITTED
12,1/23/20,IVV,ENTER,BUY,LMT,330.16,CANCELLED
13,1/22/20,IVV,ENTER,BUY,LMT,329.45,SUBMITTED
13,1/24/20,IVV,ENTER,BUY,LMT,329.45,FILLED
13,1/24/20,IVV,EXIT,SELL,LMT,332.7445,SUBMITTED
13,1/31/20,IVV,EXIT,SELL,LMT,332.7445,CANCELLED
13,1/31/20,IVV,EXIT,SELL,MKT,323.24,FILLED
14,1/23/20,IVV,ENTER,BUY,LMT,329.52,SUBMITTED
14,1/24/20,IVV,ENTER,BUY,LMT,329.52,FILLED
14,1/24/20,IVV,EXIT,SELL,LMT,332.8152,SUBMITTED
14,1/31/20,IVV,EXIT,SELL,LMT,332.8152,CANCELLED
14,1/31/20,IVV,EXIT,SELL,MKT,323.24,FILLED
15,1/24/20,IVV,ENTER,BUY,LMT,329.93,SUBMITTED
15,1/24/20,IVV,ENTER,BUY,LMT,329.93,FILLED
15,1/24/20,IVV,EXIT,SELL,LMT,333.2293,SUBMITTED
15,1/31/20,IVV,EXIT,SELL,LMT,333.2293,CANCELLED
15,1/31/20,IVV,EXIT,SELL,MKT,323.24,FILLED
16,1/27/20,IVV,ENTER,BUY,LMT,326.93,SUBMITTED
16,1/27/20,IVV,ENTER,BUY,LMT,326.93,FILLED
16,1/27/20,IVV,EXIT,SELL,LMT,330.1993,SUBMITTED
16,2/3/20,IVV,EXIT,SELL,LMT,330.1993,CANCELLED
16,2/3/20,IVV,EXIT,SELL,MKT,325.56,FILLED
17,1/28/20,IVV,ENTER,BUY,LMT,321.62,SUBMITTED
17,1/30/20,IVV,ENTER,BUY,LMT,321.62,CANCELLED
18,1/29/20,IVV,ENTER,BUY,LMT,325.05,SUBMITTED
18,1/30/20,IVV,ENTER,BUY,LMT,325.05,FILLED
18,1/30/20,IVV,EXIT,SELL,LMT,328.3005,SUBMITTED
18,1/30/20,IVV,EXIT,SELL,LMT,328.3005,FILLED
19,1/30/20,IVV,ENTER,BUY,LMT,324.82,SUBMITTED
19,1/31/20,IVV,ENTER,BUY,LMT,324.82,FILLED
19,1/31/20,IVV,EXIT,SELL,LMT,328.0682,SUBMITTED
19,2/4/20,IVV,EXIT,SELL,LMT,328.0682,FILLED
20,1/31/20,IVV,ENTER,BUY,LMT,325.8,SUBMITTED
20,1/31/20,IVV,ENTER,BUY,LMT,325.8,FILLED
20,1/31/20,IVV,EXIT,SELL,LMT,329.058,SUBMITTED
20,2/4/20,IVV,EXIT,SELL,LMT,329.058,FILLED
21,2/3/20,IVV,ENTER,BUY,LMT,320.01,SUBMITTED
21,2/5/20,IVV,ENTER,BUY,LMT,320.01,CANCELLED
22,2/4/20,IVV,ENTER,BUY,LMT,322.3,SUBMITTED
22,2/6/20,IVV,ENTER,BUY,LMT,322.3,CANCELLED
23,2/5/20,IVV,ENTER,BUY,LMT,327.3,SUBMITTED
23,2/7/20,IVV,ENTER,BUY,LMT,327.3,CANCELLED
24,2/6/20,IVV,ENTER,BUY,LMT,330.95,SUBMITTED
24,2/10/20,IVV,ENTER,BUY,LMT,330.95,CANCELLED
25,2/7/20,IVV,ENTER,BUY,LMT,332.21,SUBMITTED
25,2/11/20,IVV,ENTER,BUY,LMT,332.21,CANCELLED
26,2/10/20,IVV,ENTER,BUY,LMT,330.41,SUBMITTED
26,2/12/20,IVV,ENTER,BUY,LMT,330.41,CANCELLED
27,2/11/20,IVV,ENTER,BUY,LMT,332.86,SUBMITTED
27,2/13/20,IVV,ENTER,BUY,LMT,332.86,CANCELLED
28,2/12/20,IVV,ENTER,BUY,LMT,333.47,SUBMITTED
28,2/14/20,IVV,ENTER,BUY,LMT,333.47,CANCELLED
29,2/13/20,IVV,ENTER,BUY,LMT,335.61,SUBMITTED
29,2/18/20,IVV,ENTER,BUY,LMT,335.61,CANCELLED
30,2/14/20,IVV,ENTER,BUY,LMT,335.19,SUBMITTED
30,2/19/20,IVV,ENTER,BUY,LMT,335.19,CANCELLED
31,2/18/20,IVV,ENTER,BUY,LMT,335.68,SUBMITTED
31,2/20/20,IVV,ENTER,BUY,LMT,335.68,FILLED
31,2/20/20,IVV,EXIT,SELL,LMT,339.0368,SUBMITTED
31,2/27/20,IVV,EXIT,SELL,LMT,339.0368,CANCELLED
31,2/27/20,IVV,EXIT,SELL,MKT,298.71,FILLED
32,2/19/20,IVV,ENTER,BUY,LMT,334.88,SUBMITTED
32,2/21/20,IVV,ENTER,BUY,LMT,334.88,FILLED
32,2/21/20,IVV,EXIT,SELL,LMT,338.2288,SUBMITTED
32,2/28/20,IVV,EXIT,SELL,LMT,338.2288,CANCELLED
32,2/28/20,IVV,EXIT,SELL,MKT,295.91,FILLED
33,2/20/20,IVV,ENTER,BUY,LMT,336.48,SUBMITTED
33,2/20/20,IVV,ENTER,BUY,LMT,336.48,FILLED
33,2/20/20,IVV,EXIT,SELL,LMT,339.8448,SUBMITTED
33,2/27/20,IVV,EXIT,SELL,LMT,339.8448,CANCELLED
33,2/27/20,IVV,EXIT,SELL,MKT,298.71,FILLED
34,2/21/20,IVV,ENTER,BUY,LMT,335.11,SUBMITTED
34,2/21/20,IVV,ENTER,BUY,LMT,335.11,FILLED
34,2/21/20,IVV,EXIT,SELL,LMT,338.4611,SUBMITTED
34,2/28/20,IVV,EXIT,SELL,LMT,338.4611,CANCELLED
34,2/28/20,IVV,EXIT,SELL,MKT,295.91,FILLED
35,2/24/20,IVV,ENTER,BUY,LMT,331.66,SUBMITTED
35,2/24/20,IVV,ENTER,BUY,LMT,331.66,FILLED
35,2/24/20,IVV,EXIT,SELL,LMT,334.9766,SUBMITTED
35,3/2/20,IVV,EXIT,SELL,LMT,334.9766,CANCELLED
35,3/2/20,IVV,EXIT,SELL,MKT,310.4,FILLED
36,2/25/20,IVV,ENTER,BUY,LMT,320.59,SUBMITTED
36,2/25/20,IVV,ENTER,BUY,LMT,320.59,FILLED
36,2/25/20,IVV,EXIT,SELL,LMT,323.7959,SUBMITTED
36,3/3/20,IVV,EXIT,SELL,LMT,323.7959,CANCELLED
36,3/3/20,IVV,EXIT,SELL,MKT,301.5,FILLED
37,2/26/20,IVV,ENTER,BUY,LMT,310.98,SUBMITTED
37,2/27/20,IVV,ENTER,BUY,LMT,310.98,FILLED
37,2/27/20,IVV,EXIT,SELL,LMT,314.0898,SUBMITTED
37,3/3/20,IVV,EXIT,SELL,LMT,314.0898,FILLED
38,2/27/20,IVV,ENTER,BUY,LMT,309.78,SUBMITTED
38,2/27/20,IVV,ENTER,BUY,LMT,309.78,FILLED
38,2/27/20,IVV,EXIT,SELL,LMT,312.8778,SUBMITTED
38,3/3/20,IVV,EXIT,SELL,LMT,312.8778,FILLED
39,2/28/20,IVV,ENTER,BUY,LMT,295.72,SUBMITTED
39,2/28/20,IVV,ENTER,BUY,LMT,295.72,FILLED
39,2/28/20,IVV,EXIT,SELL,LMT,298.6772,SUBMITTED
39,3/2/20,IVV,EXIT,SELL,LMT,298.6772,FILLED
40,3/2/20,IVV,ENTER,BUY,LMT,292.95,SUBMITTED
40,3/4/20,IVV,ENTER,BUY,LMT,292.95,CANCELLED
41,3/3/20,IVV,ENTER,BUY,LMT,307.3,SUBMITTED
41,3/3/20,IVV,ENTER,BUY,LMT,307.3,FILLED
41,3/3/20,IVV,EXIT,SELL,LMT,310.373,SUBMITTED
41,3/4/20,IVV,EXIT,SELL,LMT,310.373,FILLED
42,3/4/20,IVV,ENTER,BUY,LMT,298.48,SUBMITTED
42,3/6/20,IVV,ENTER,BUY,LMT,298.48,FILLED
42,3/6/20,IVV,EXIT,SELL,LMT,301.4648,SUBMITTED
42,3/13/20,IVV,EXIT,SELL,LMT,301.4648,CANCELLED
42,3/13/20,IVV,EXIT,SELL,MKT,271.55,FILLED
43,3/5/20,IVV,ENTER,BUY,LMT,311.6,SUBMITTED
43,3/5/20,IVV,ENTER,BUY,LMT,311.6,FILLED
43,3/5/20,IVV,EXIT,SELL,LMT,314.716,SUBMITTED
43,3/12/20,IVV,EXIT,SELL,LMT,314.716,CANCELLED
43,3/12/20,IVV,EXIT,SELL,MKT,248.96,FILLED
44,3/6/20,IVV,ENTER,BUY,LMT,300.72,SUBMITTED
44,3/6/20,IVV,ENTER,BUY,LMT,300.72,FILLED
44,3/6/20,IVV,EXIT,SELL,LMT,303.7272,SUBMITTED
44,3/13/20,IVV,EXIT,SELL,LMT,303.7272,CANCELLED
44,3/13/20,IVV,EXIT,SELL,MKT,271.55,FILLED
45,3/9/20,IVV,ENTER,BUY,LMT,295.71,SUBMITTED
45,3/9/20,IVV,ENTER,BUY,LMT,295.71,FILLED
45,3/9/20,IVV,EXIT,SELL,LMT,298.6671,SUBMITTED
45,3/16/20,IVV,EXIT,SELL,LMT,298.6671,CANCELLED
45,3/16/20,IVV,EXIT,SELL,MKT,240.12,FILLED
46,3/10/20,IVV,ENTER,BUY,LMT,272.05,SUBMITTED
46,3/11/20,IVV,ENTER,BUY,LMT,272.05,FILLED
46,3/11/20,IVV,EXIT,SELL,LMT,274.7705,SUBMITTED
46,3/11/20,IVV,EXIT,SELL,LMT,274.7705,FILLED
47,3/11/20,IVV,ENTER,BUY,LMT,286.65,SUBMITTED
47,3/11/20,IVV,ENTER,BUY,LMT,286.65,FILLED
47,3/11/20,IVV,EXIT,SELL,LMT,289.5165,SUBMITTED
47,3/18/20,IVV,EXIT,SELL,LMT,289.5165,CANCELLED
47,3/18/20,IVV,EXIT,SELL,MKT,241.17,FILLED
48,3/12/20,IVV,ENTER,BUY,LMT,272.72,SUBMITTED
48,3/12/20,IVV,ENTER,BUY,LMT,272.72,FILLED
48,3/12/20,IVV,EXIT,SELL,LMT,275.4472,SUBMITTED
48,3/19/20,IVV,EXIT,SELL,LMT,275.4472,CANCELLED
48,3/19/20,IVV,EXIT,SELL,MKT,242.06,FILLED
49,3/13/20,IVV,ENTER,BUY,LMT,246.47,SUBMITTED
49,3/16/20,IVV,ENTER,BUY,LMT,246.47,FILLED
49,3/16/20,IVV,EXIT,SELL,LMT,248.9347,SUBMITTED
49,3/17/20,IVV,EXIT,SELL,LMT,248.9347,FILLED
50,3/16/20,IVV,ENTER,BUY,LMT,268.83,SUBMITTED
50,3/16/20,IVV,ENTER,BUY,LMT,268.83,FILLED
50,3/16/20,IVV,EXIT,SELL,LMT,271.5183,SUBMITTED
50,3/23/20,IVV,EXIT,SELL,LMT,271.5183,CANCELLED
50,3/23/20,IVV,EXIT,SELL,MKT,224.65,FILLED
51,3/17/20,IVV,ENTER,BUY,LMT,237.72,SUBMITTED
51,3/18/20,IVV,ENTER,BUY,LMT,237.72,FILLED
51,3/18/20,IVV,EXIT,SELL,LMT,240.0972,SUBMITTED
51,3/18/20,IVV,EXIT,SELL,LMT,240.0972,FILLED
52,3/18/20,IVV,ENTER,BUY,LMT,252.84,SUBMITTED
52,3/18/20,IVV,ENTER,BUY,LMT,252.84,FILLED
52,3/18/20,IVV,EXIT,SELL,LMT,255.3684,SUBMITTED
52,3/25/20,IVV,EXIT,SELL,LMT,255.3684,FILLED
53,3/19/20,IVV,ENTER,BUY,LMT,238.76,SUBMITTED
53,3/19/20,IVV,ENTER,BUY,LMT,238.76,FILLED
53,3/19/20,IVV,EXIT,SELL,LMT,241.1476,SUBMITTED
53,3/19/20,IVV,EXIT,SELL,LMT,241.1476,FILLED
