,trade_id,asset,dt_enter,dt_exit,success,n,rtn
0,1,IVV,2023-01-31,,0,3,0.0
1,2,IVV,2023-02-01,2023-02-01 00:00:00,1,1,0.009944697342203523
2,3,IVV,2023-02-02,,0,3,0.0
3,4,IVV,2023-02-03,2023-02-09 00:00:00,-1,5,-0.0026228610112572054
4,5,IVV,2023-02-06,2023-02-07 00:00:00,1,2,0.00497263109881264
5,6,IVV,2023-02-07,,0,3,0.0
6,7,IVV,2023-02-08,2023-02-14 00:00:00,-1,5,0.0007782393114147779
7,8,IVV,2023-02-09,2023-02-13 00:00:00,1,3,0.0033132215868436747
8,9,IVV,2023-02-10,,0,3,0.0
9,10,IVV,2023-02-13,,0,3,0.0
10,11,IVV,2023-02-14,2023-02-15 00:00:00,1,2,0.004979626072415714
11,12,IVV,2023-02-15,2023-02-22 00:00:00,-1,6,-0.004136249252132366
12,13,IVV,2023-02-16,2023-02-22 00:00:00,-1,5,-0.005600868427943178
13,14,IVV,2023-02-17,2023-02-21 00:00:00,1,3,0.0033153143957622717
14,15,IVV,2023-02-21,2023-02-27 00:00:00,-1,5,-0.002759350214034181
15,16,IVV,2023-02-22,2023-02-27 00:00:00,1,4,0.0024874580219343013
16,17,IVV,2023-02-23,2023-02-27 00:00:00,1,3,0.0033138625557961186
17,18,IVV,2023-02-24,2023-02-27 00:00:00,1,2,0.004969698531368026
18,19,IVV,2023-02-27,,0,3,0.0
19,20,IVV,2023-02-28,2023-03-02 00:00:00,1,3,0.0033209492764390176
20,21,IVV,2023-03-01,,0,3,0.0
21,22,IVV,2023-03-02,,0,3,0.0
22,23,IVV,2023-03-03,,0,3,0.0
23,24,IVV,2023-03-06,2023-03-13 00:00:00,-1,6,-0.006316047233174959
24,25,IVV,2023-03-07,2023-03-13 00:00:00,-1,5,-0.007803000938623709
25,26,IVV,2023-03-08,2023-03-15 00:00:00,-1,6,-0.0021042927942785546
26,27,IVV,2023-03-09,2023-03-15 00:00:00,-1,5,-0.002873218784449956
27,28,IVV,2023-03-10,2023-03-14 00:00:00,1,3,0.003312709558427536
28,29,IVV,2023-03-13,2023-03-14 00:00:00,1,2,0.004975165426584046
29,30,IVV,2023-03-14,,0,3,0.0
30,31,IVV,2023-03-15,2023-03-16 00:00:00,1,2,0.004979739315472181
31,32,IVV,2023-03-16,,0,3,0.0
32,33,IVV,2023-03-17,2023-03-21 00:00:00,1,3,0.0033175310049439674
33,34,IVV,2023-03-20,,0,3,0.0
34,35,IVV,2023-03-21,2023-03-24 00:00:00,1,4,0.0024869530387455862
35,36,IVV,2023-03-22,2023-03-28 00:00:00,-1,5,-0.00040723484111830155
36,37,IVV,2023-03-23,2023-03-24 00:00:00,1,2,0.004980981472143396
37,38,IVV,2023-03-24,,0,3,0.0
38,39,IVV,2023-03-27,,0,3,0.0
39,40,IVV,2023-03-28,,0,3,0.0
40,41,IVV,2023-03-29,,0,3,0.0
41,42,IVV,2023-03-30,,0,3,0.0
42,43,IVV,2023-03-31,,0,3,0.0
43,44,IVV,2023-04-03,,0,3,0.0
44,45,IVV,2023-04-04,2023-04-11 00:00:00,1,6,0.0016567318779442883
45,46,IVV,2023-04-05,,0,4,0.0
46,47,IVV,2023-04-06,,0,4,0.0
47,48,IVV,2023-04-10,,0,3,0.0
48,49,IVV,2023-04-11,,0,3,0.0
49,50,IVV,2023-04-12,,0,3,0.0
50,51,IVV,2023-04-13,,0,3,0.0
51,52,IVV,2023-04-14,,0,3,0.0
52,53,IVV,2023-04-17,,0,3,0.0
53,54,IVV,2023-04-18,,0,3,0.0
54,55,IVV,2023-04-19,,0,3,0.0
55,56,IVV,2023-04-20,,0,3,0.0
56,57,IVV,2023-04-21,2023-04-27 00:00:00,1,5,0.001992387155040523
57,58,IVV,2023-04-24,2023-04-27 00:00:00,1,4,0.0024890929268664395
58,59,IVV,2023-04-25,2023-04-27 00:00:00,1,3,0.0033146049862230183
59,60,IVV,2023-04-26,,0,3,0.0
